0;Entlassen
1;New Novice
2;Novice
3;1st Novice
4;2nd Novice
5;3rd Novice
6;4th Novice
7;Average Novice
8;1st Average Novice
9;2nd Average Novice
10;3rd Average Novice
11;Educated Novice A
12;Educated Novice B
13;Educated Novice C
14;Educated Novice D
15;Warrant Novice
16;New Protective Agent 0/5
17;1st Protective Agent1/5
18;2nd Protective Agent
19;3rd Protective Agent
20;4th Protective Agent
21;Protective Agent A
22;Protective Agent B
23;Protective Agent C
24;Protective Agent D
25;1st Staff PA
26;2nd Staff PA
27;3rd Staff PA
28;4th Staff PA
29;Advanced Protective Agent
30;Warrant Protective Agent
31;New Guardian
32;1st Guardian
33;2nd Guardian
34;3rd Guardian
35;4th Guardian
36;Learned Guardian A
37;Learned Guardian B
38;Learned Guardian C
39;Learned Guardian D
40;Advanced Guardian
41;Warrant Guardian
42;New Confederate
43;1st Confederate Agent
44;2nd Confederate Agent
45;3rd Confederate Agent
46;4th Confederate Agent
47;Educated Confederate A
48;Educated Confederate B
49;Educated Confederate C
50;Educated Confederate D
51;Advanced Confederate Agent
52;Warrant Confederate Agent
53;New Officer
54;Officer A
55;Officer B
56;Officer C
57;Officer D
58;Trained Officer A
59;Trained Officer B
60;Trained Officer C
61;Trained Officer D
62;Advanced Officer
63;Warrant Officer
64;New Systematic Guide
65;Systematic Guide A
66;Systematic Guide B
67;Systematic Guide C
68;Systematic Guide D
69;1st Systematic Guide
70;2nd Systematic Guide
71;3rd Systematic Guide
72;4th Systematic Guide
73;Advanced Guide
74;Warrant Guide
75;New Council Member
76;Council Member A
77;Council Member B
78;Council Member C
79;Council Member D
80;1st Council Member
81;2nd Council Member
82;3rd Council Member
83;4th Council Member
84;Advanced Council Member
85;Warrant Council Member
86;New Parliament Dean
87;Parliament Dean A
88;Parliament Dean B
89;Parliament Dean C
90;Parliament Dean D
91;1st Parliament Dean
92;2nd Parliament Dean
93;3rd Parliament Dean
94;4th Parliament Dean
95;Educated Parliament Dean A
96;Educated Parliament Dean B
97;Educated Parliament Dean C
98;Educated Parliament Dean D
99;Advanced Parliament Dean
100;Warrant Parliament Dean
101;New Novice [*]
102;Novice [*]
103;1st Novice [*]
104;2nd Novice [*]
105;3rd Novice [*]
106;4th Novice [*]
107;Average Novice [*]
108;1st Average Novice [*]
109;2nd Average Novice [*]
110;3rd Average Novice [*]
111;Educated Novice A [*]
112;Educated Novice B [*]
113;Educated Novice C [*]
114;Educated Novice D [*]
115;Warrant Novice [*]
116;New Protective Agent 0/5 [*]
117;1st Protective Agent1/5 [*]
118;2nd Protective Agent [*]
119;3rd Protective Agent [*]
120;4th Protective Agent [*]
121;Protective Agent A [*]
